,,,,,-200,-200,-200,-200,-200,-200,-200,-200,-200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
,,,,,-900,-900,-900,-900,-900,-900,-900,-900,-900,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,
Serial#,Bin#,SBin#,XAdr,YAdr,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,
25,58,58,123,51,-513.159,-516.382,-515.964,-515.756,-517.841,-517.843,-466.438,-454.984,-506.114,11.312,11.464,11.464,11.464,11.312,11.464,11.312,11.464,11.464,11.464,11.464,11.159,11.312,11.464,11.464,11.464,11.464,11.464,11.312,11.464,11.312,11.464,11.312,11.312,11.312,11.617,11.464,11.617,11.312,11.312,11.312,11.464,11.464,11.464,11.464,11.464,11.617,11.617,11.617,11.312,11.617,11.464,11.617,11.464,11.464,11.464,11.464,11.464,11.464,11.464,11.312,11.312,11.464,11.159,11.464,11.464,11.312,11.464,11.464,11.159,11.312,11.312,11.464,11.464,11.464,
26,58,58,122,51,-512.203,-514.686,-514.906,-516.034,-515.652,-516.764,-466.363,-454.644,-505.336,12.71,12.252,12.71,12.405,12.099,12.557,12.557,12.252,12.252,12.252,12.252,12.405,11.946,12.405,12.557,12.405,12.252,12.099,12.71,12.405,12.405,12.252,12.557,12.405,12.252,12.099,11.793,11.793,12.557,12.405,12.099,11.946,12.099,12.405,12.099,12.405,11.946,12.405,12.252,12.405,12.405,12.099,12.71,12.252,12.252,12.099,11.64,12.405,12.557,12.252,12.099,11.793,12.252,12.099,12.252,12.405,12.557,11.946,11.793,11.946,12.557,12.252,12.405,11.946,12.557,
27,58,58,121,51,-513.681,-516.635,-516.514,-517.231,-516.412,-515.435,-467.239,-455.671,-506.709,14.374,14.068,14.221,14.068,13.915,14.374,14.068,14.221,13.915,14.068,13.763,14.068,13.61,14.068,14.068,14.068,14.068,13.763,14.221,14.221,14.221,13.915,14.221,13.915,13.915,13.915,13.61,13.763,14.068,14.068,13.61,13.915,13.915,14.221,13.915,14.221,14.068,14.221,14.068,14.221,14.068,13.915,14.374,13.915,14.068,13.915,13.61,14.068,14.068,14.068,13.763,13.61,14.068,13.915,14.068,14.068,14.374,13.61,13.763,13.915,14.374,14.068,14.221,13.915,14.221,
28,58,58,120,51,-523.259,-523.578,-528.278,-518.036,-522.649,-524.596,-473.137,-460.914,-513.26,11.893,11.74,11.433,11.893,11.28,11.893,11.433,11.587,11.74,11.433,12.046,11.893,12.046,11.28,11.893,11.587,11.74,11.587,11.587,11.893,11.893,11.893,11.433,11.893,12.199,11.433,11.893,12.046,11.74,11.893,11.74,11.587,11.74,11.433,12.199,11.74,11.74,11.893,11.433,11.28,11.74,11.893,11.587,11.74,12.046,11.433,11.433,11.74,11.893,11.893,11.28,11.433,11.587,11.433,11.74,11.893,11.587,11.74,12.046,11.893,11.433,11.587,11.433,11.433,11.74,
29,58,58,119,51,-526.564,-522.347,-523.213,-531.634,-501.058,-504.907,-462.719,-451.935,-502.031,1.186,1.033,0.879335,1.186,0.879335,1.186,0.879335,1.033,1.033,0.726021,1.186,1.186,1.186,0.726021,1.186,0.879335,0.879335,1.033,1.033,1.339,1.033,1.186,1.033,1.186,1.339,0.726021,1.186,1.339,1.186,1.186,1.186,0.726021,1.186,0.879335,1.186,1.186,1.339,1.186,0.879335,0.726021,1.033,1.339,0.879335,1.033,1.186,0.879335,0.879335,1.186,1.186,1.186,0.726021,1.033,1.033,0.726021,1.033,1.186,0.879335,1.186,1.186,1.033,0.879335,0.879335,0.879335,0.879335,1.186,
30,58,58,118,51,-503.373,-507.565,-514.278,-512.07,-521.596,-527.225,-470.536,-456.497,-510.242,14.897,14.744,14.591,14.897,14.744,14.591,14.591,14.744,14.744,14.591,14.897,14.744,14.897,14.591,14.744,14.744,14.591,14.744,14.744,14.897,14.591,14.897,14.744,14.744,14.897,14.591,14.744,14.897,14.897,14.744,14.897,14.591,14.744,14.591,14.897,14.744,14.897,14.744,14.744,14.591,14.744,14.897,14.744,14.744,15.05,14.744,14.591,14.897,14.897,14.897,14.591,14.438,14.744,14.591,14.591,14.897,14.591,14.897,14.897,14.744,14.438,14.744,14.591,14.591,14.744,
31,58,58,117,51,-516.726,-525.516,-522.282,-521.73,-520.856,-517.014,-460.224,-450.511,-498.527,1.894,1.741,1.588,2.047,1.435,1.894,1.435,1.741,1.894,1.435,1.894,1.894,1.894,1.435,1.741,1.588,1.588,1.741,1.741,2.047,1.741,1.741,1.435,1.894,2.2,1.435,1.894,1.894,1.894,1.894,2.2,1.588,1.741,1.588,2.2,1.741,1.894,1.894,1.588,1.282,1.741,2.2,1.741,1.741,2.047,1.588,1.435,1.894,1.894,1.894,1.435,1.588,1.741,1.282,1.741,1.894,1.435,1.741,1.894,1.894,1.588,1.588,1.435,1.435,1.588,
32,58,58,132,52,-512.748,-516.156,-516.053,-516.114,-520.037,-519.464,-465.567,-453.913,-506.907,17.158,16.852,16.699,16.852,17.464,16.852,17.005,17.311,17.005,17.005,17.005,17.311,17.158,17.005,17.158,16.699,17.158,17.005,17.158,16.852,17.158,17.005,16.852,17.311,17.464,17.158,17.005,17.311,16.699,16.852,17.158,17.005,16.699,16.699,16.852,17.158,17.158,17.005,16.852,16.699,16.699,16.852,17.158,16.852,17.158,17.158,17.311,17.311,16.852,17.158,17.158,16.699,17.005,17.311,17.005,16.699,16.852,17.005,16.852,16.699,16.852,16.852,16.852,16.699,16.699,
33,58,58,131,52,-512.684,-515.841,-515.193,-516.647,-518.546,-519.603,-467.083,-455.475,-505.974,19.888,19.428,19.428,19.275,19.581,19.428,19.275,19.581,19.581,19.428,19.581,19.581,19.581,19.428,19.734,19.581,19.734,19.734,19.888,19.734,19.734,19.581,19.734,20.041,19.888,19.734,19.734,19.888,19.581,19.581,19.888,19.734,19.581,19.581,19.734,19.888,19.888,19.734,19.581,19.734,19.581,19.581,19.888,19.581,19.734,19.888,19.888,20.041,19.734,19.888,19.734,19.581,19.734,19.888,19.581,19.734,19.581,19.734,19.734,19.581,19.581,19.581,19.581,19.581,19.581,
34,58,58,130,52,-512.104,-515.174,-514.653,-515.046,-518.243,-518.392,-465.89,-454.288,-505.495,14.368,14.368,14.368,14.368,14.827,14.521,14.521,14.827,14.827,14.674,14.521,14.981,14.674,14.827,14.827,14.521,14.827,14.827,14.981,14.521,14.827,14.368,14.521,14.981,15.134,14.827,14.827,14.827,14.521,14.521,14.981,14.674,14.521,14.368,14.827,14.827,14.981,14.674,14.521,14.674,14.674,14.674,15.134,14.521,14.827,15.134,14.981,15.134,14.674,14.981,14.981,14.674,14.674,15.134,14.827,14.674,14.521,14.674,14.827,14.674,14.827,14.674,14.674,14.521,14.521,
35,58,58,129,52,-512.607,-515.223,-515.301,-515.827,-518.509,-519.159,-467.027,-454.631,-506.244,14.156,13.849,13.696,13.696,14.309,13.849,13.849,14.156,14.156,13.849,13.849,14.156,13.696,13.696,13.849,13.39,14.003,13.849,14.003,13.849,14.003,13.849,13.849,14.156,14.309,14.003,14.003,14.156,13.696,13.696,14.003,13.696,13.696,13.849,14.003,14.309,14.156,14.003,13.849,13.696,14.003,14.003,14.156,13.696,14.003,14.309,14.462,14.309,13.849,14.309,14.309,13.849,13.696,14.309,13.849,13.849,14.003,13.849,13.849,13.849,14.003,13.849,14.003,13.696,13.696,
36,58,58,128,52,-512.729,-516.095,-515.768,-516.241,-518.89,-518.77,-466.75,-455.192,-506.494,15.071,15.224,14.765,14.459,14.459,14.612,14.307,14.459,14.765,14.307,14.459,15.071,14.918,14.765,14.612,14.612,14.307,14.918,14.765,14.918,14.612,14.918,14.918,14.459,14.459,14.307,14.918,14.612,14.612,14.459,14.612,14.918,14.918,14.459,14.307,14.765,14.918,14.459,14.918,14.459,14.612,14.612,14.612,14.918,14.918,14.612,14.765,14.765,14.918,14.918,14.459,14.612,14.765,14.918,14.765,14.765,14.612,14.918,14.765,14.612,14.918,14.612,14.459,14.765,14.612,
37,58,58,127,52,-511.84,-515.062,-514.844,-516.046,-517.879,-518.574,-466.624,-454.957,-505.855,12.901,13.207,12.748,12.595,12.442,12.595,12.595,12.442,12.595,12.595,12.442,13.054,12.901,12.595,12.748,12.748,12.289,12.595,12.748,12.901,12.748,12.901,12.901,12.595,12.289,12.289,12.748,12.748,12.442,12.595,12.748,13.054,12.748,12.595,12.442,12.595,12.901,12.442,13.054,12.595,12.901,12.595,12.595,12.748,12.748,12.442,12.595,12.901,12.901,13.207,12.442,12.901,12.901,12.748,12.748,12.595,12.595,12.901,12.595,12.748,12.748,12.595,12.595,12.442,12.748,
38,58,58,126,52,-512.004,-515.335,-515.003,-515.015,-517.732,-515.873,-466.324,-455.177,-506.405,14.129,13.976,13.976,13.976,13.823,13.976,13.823,13.823,13.823,13.976,14.129,13.823,13.823,13.823,13.976,13.823,13.976,13.823,13.976,13.823,13.823,13.823,13.976,13.976,13.976,13.976,13.823,13.823,13.976,13.823,13.823,13.671,13.823,13.976,13.976,13.823,13.823,13.976,13.823,13.671,13.671,13.823,14.129,13.823,13.823,13.671,13.976,13.976,13.823,13.823,13.671,13.671,13.823,13.671,13.823,13.976,13.823,13.671,13.671,13.518,13.823,13.823,13.823,13.976,13.976,
39,58,58,125,52,-512.213,-514.558,-515.079,-515.911,-517.941,-518.172,-466.297,-455.244,-506.674,13.707,13.707,13.402,13.402,13.249,13.402,13.249,13.097,13.707,13.097,13.555,13.707,13.707,13.555,13.86,13.249,13.249,13.707,13.555,13.555,13.249,13.555,13.86,13.707,13.402,13.402,13.707,13.249,13.707,13.249,13.707,13.707,13.86,13.707,13.402,13.707,13.86,13.402,13.555,13.249,13.402,13.707,13.707,13.555,13.555,13.249,13.402,13.707,13.707,13.86,13.097,13.402,13.555,13.707,13.707,13.555,13.402,13.402,13.249,13.249,13.707,13.249,13.402,13.097,13.402,
40,58,58,124,52,-509.724,-512.236,-520.922,-521.758,-531.358,-523.388,-464.105,-448.82,-504.552,7.595,7.595,7.595,8.361,7.749,7.442,8.055,7.749,7.442,8.055,7.749,7.595,7.595,7.749,7.595,7.442,7.442,7.289,7.749,7.595,7.749,7.749,7.749,7.136,7.749,7.595,7.442,7.749,7.442,7.442,7.902,7.902,7.749,7.595,7.442,7.595,7.442,7.136,7.136,7.442,7.749,7.442,7.902,7.136,7.749,7.902,7.595,7.749,7.136,7.595,7.289,7.902,7.902,7.289,7.595,7.442,7.289,7.595,7.442,7.289,7.136,7.289,7.749,6.983,7.749,
41,58,58,123,52,-518.127,-526.831,-524.318,-519.759,-516.301,-514.636,-470.196,-457.237,-510.231,10.76,10.913,10.607,11.066,11.22,10.607,10.913,10.913,10.76,11.066,10.913,10.454,10.913,10.607,10.454,10.454,10.607,10.454,10.76,10.301,10.76,10.607,10.76,10.454,10.76,10.76,10.301,10.607,10.607,10.454,10.607,10.607,10.913,10.607,10.607,10.76,10.301,10.148,10.301,10.454,10.913,10.607,10.76,10.148,10.607,10.913,10.607,10.607,10.148,10.607,10.301,10.76,10.76,10.148,10.607,10.301,10.301,10.607,10.301,10.301,10.148,10.454,10.607,10.148,10.913,
42,58,58,122,52,-516.231,-514.846,-516.535,-516.691,-524.41,-518.947,-469.956,-453.304,-509.761,11.644,11.797,11.644,11.492,11.492,11.644,11.492,11.644,11.644,11.644,11.339,11.492,11.492,11.492,11.492,11.492,11.797,11.339,11.492,11.644,11.186,11.492,11.339,11.644,11.492,11.492,11.644,11.644,11.644,11.644,11.339,11.492,11.339,11.644,11.492,11.492,11.339,11.644,11.644,11.644,11.492,11.644,11.492,11.644,11.339,11.492,11.644,11.492,11.644,11.644,11.492,11.492,11.492,11.492,11.644,11.644,11.492,11.339,11.492,11.644,11.492,11.644,11.492,11.644,11.492,
43,58,58,121,52,-516.831,-521.242,-517.273,-514.879,-521.232,-514.851,-470.053,-456.981,-508.894,13.791,13.943,13.332,13.791,13.485,13.332,13.943,13.943,13.485,13.943,13.638,13.638,13.485,13.791,13.638,13.485,13.791,13.179,13.791,13.638,13.485,13.791,13.485,13.179,13.638,13.638,13.332,13.791,13.638,13.638,13.638,13.638,13.791,13.638,13.179,13.791,13.026,13.179,13.485,13.179,13.638,13.638,13.791,13.026,13.638,13.791,13.638,13.638,13.179,13.638,13.026,13.791,13.791,13.179,13.638,13.179,13.026,13.332,13.638,13.485,13.179,13.485,13.332,13.179,13.485,
44,58,58,120,52,-511.991,-514.977,-514.498,-515.068,-517.856,-517.714,-466.072,-455.117,-505.202,13.096,13.249,13.096,13.707,13.402,13.554,13.554,13.554,13.096,13.86,13.402,12.791,12.943,12.943,13.402,13.249,13.554,13.249,13.096,13.249,13.402,13.249,12.943,13.554,13.402,13.402,12.791,13.402,13.249,13.554,13.096,12.943,12.943,13.249,13.554,12.943,12.791,13.402,13.249,13.402,13.554,13.096,13.096,13.402,13.096,13.096,13.402,13.402,13.096,12.943,13.402,13.249,13.402,12.943,13.096,13.402,13.096,13.249,13.096,13.554,12.943,13.554,13.554,13.096,13.707,
45,58,58,119,52,-511.33,-514.056,-513.856,-514.757,-517.102,-517.91,-465.576,-453.904,-505.82,13.668,13.821,13.821,13.974,13.821,13.821,13.668,13.821,13.362,13.821,13.668,13.362,13.362,13.209,13.515,13.515,13.515,13.362,13.362,13.362,13.515,13.362,13.209,13.515,13.362,13.362,13.362,13.668,13.515,13.515,13.362,13.209,13.209,13.515,13.668,13.362,13.362,13.668,13.515,13.668,13.515,13.362,13.362,13.515,13.515,13.515,13.515,13.515,13.362,13.362,13.668,13.668,13.515,13.362,13.515,13.668,13.515,13.362,13.362,13.515,13.362,13.668,13.668,13.515,13.668,
46,58,58,118,52,-511.131,-514.287,-513.949,-514.449,-517.175,-516.978,-465.054,-453.438,-505.856,12.677,12.524,12.371,13.136,12.677,12.83,12.83,12.83,12.524,12.983,12.83,12.371,12.218,12.218,12.83,12.677,12.83,12.524,12.524,12.371,12.677,12.371,12.524,12.83,12.677,12.83,12.371,12.83,12.83,12.83,12.677,12.524,12.371,12.83,12.83,12.371,12.371,12.83,12.677,12.83,12.83,12.524,12.677,12.677,12.524,12.83,12.677,12.677,12.524,12.371,12.677,12.524,12.677,12.218,12.677,12.83,12.677,12.524,12.371,12.677,12.218,12.83,12.83,12.524,12.983,
47,58,58,117,52,-511.464,-514.829,-514.552,-515.134,-517.45,-518.647,-465.81,-453.944,-506.572,12.407,12.713,12.407,13.172,13.019,12.713,12.866,12.866,12.407,13.019,12.56,12.254,12.101,12.254,12.56,12.56,12.56,12.254,12.407,12.407,12.56,12.407,12.407,12.713,12.56,12.56,12.254,12.713,12.713,12.866,12.407,12.407,12.254,12.713,12.866,12.254,12.101,12.866,12.407,12.713,12.56,12.101,12.56,12.713,12.407,12.56,12.713,12.56,12.407,12.254,12.866,12.713,12.713,12.101,12.407,12.713,12.713,12.56,12.407,12.56,12.101,12.866,12.866,12.56,12.713,
48,58,58,132,53,-512.162,-515.742,-515.769,-516.053,-517.375,-517.379,-464.827,-453.418,-504.577,13.901,14.36,14.054,14.207,13.901,14.36,14.207,14.36,14.054,14.207,14.054,14.054,14.207,14.054,13.596,13.901,13.749,13.901,13.901,14.207,13.901,14.36,14.054,14.207,14.054,14.513,14.36,14.36,14.054,13.749,14.36,14.054,14.513,13.749,14.36,13.901,13.901,13.901,13.901,14.054,14.054,14.207,14.36,14.207,14.207,14.054,13.749,14.054,13.749,14.054,14.054,14.054,13.749,14.054,14.054,14.207,14.054,14.054,14.054,14.207,13.901,14.054,14.513,14.207,14.36,
49,58,58,131,53,-513.368,-515.711,-516.375,-516.038,-518.385,-517.888,-468.127,-456.874,-503.954,14.103,14.256,13.797,14.103,13.797,14.256,14.256,14.103,13.797,14.256,13.95,13.95,13.95,13.95,13.644,13.95,13.644,13.797,13.797,14.103,13.797,13.95,13.797,14.103,13.95,14.103,14.103,13.95,13.797,13.797,14.256,13.95,14.103,13.797,14.103,13.797,13.797,13.797,13.797,13.95,13.95,14.103,14.256,13.95,14.103,14.103,13.644,13.797,13.644,14.103,13.95,14.103,13.797,13.95,13.797,14.103,13.95,13.95,13.644,14.103,13.95,13.95,14.256,14.103,14.256,
50,58,58,130,53,-513.633,-516.542,-516.573,-518.017,-519.105,-519.069,-467.002,-455.39,-507.192,19.165,19.318,19.318,19.471,19.318,19.318,19.318,19.165,19.165,19.318,19.012,19.012,19.165,19.165,18.859,19.012,19.012,19.012,19.012,19.165,18.859,19.165,19.012,19.165,19.165,19.165,19.165,19.165,19.012,19.165,19.165,19.165,19.318,19.012,19.165,19.012,19.012,19.012,19.012,19.012,18.859,19.165,19.318,19.165,19.012,19.165,19.012,19.012,18.859,19.012,19.165,18.859,18.859,19.165,19.012,19.165,19.012,18.859,19.012,19.165,19.012,19.012,19.318,19.165,19.318,
51,58,58,129,53,-512.367,-515.656,-515.686,-515.89,-518.24,-518.033,-466.165,-454.862,-506.117,14.539,14.692,14.386,14.692,14.233,14.539,14.692,14.692,14.539,14.692,14.386,14.539,14.539,14.692,14.386,14.233,14.386,14.233,14.386,14.539,14.233,14.845,14.386,14.692,14.386,14.692,14.539,14.539,14.386,14.233,14.845,14.386,14.845,14.233,14.845,14.233,14.386,14.386,14.386,14.233,14.386,14.692,14.999,14.386,14.539,14.539,14.233,14.386,14.079,14.692,14.692,14.386,14.233,14.539,14.233,14.692,14.386,14.692,14.386,14.539,14.386,14.386,14.845,14.539,14.845,
52,58,58,128,53,-513.13,-515.795,-516.068,-516.598,-518.313,-518.593,-466.99,-456.238,-505.269,15.584,15.431,15.431,15.431,15.737,15.431,15.584,15.125,15.737,15.278,15.278,15.125,15.125,15.278,15.737,15.431,15.584,15.431,15.584,15.278,15.431,15.125,15.278,15.125,15.278,14.972,15.125,15.278,15.584,15.431,14.972,15.584,14.972,15.431,15.278,15.431,15.584,15.584,15.584,15.431,15.278,15.278,15.125,15.125,15.125,15.278,15.431,15.431,15.584,14.972,14.972,15.431,15.584,15.125,15.125,15.278,15.431,15.125,15.431,15.125,15.431,15.431,14.972,15.125,14.972,
53,58,58,127,53,-513.356,-516.51,-516.294,-516.285,-519.085,-518.094,-467.023,-455.093,-506.741,14.776,14.776,14.776,14.623,14.471,14.623,14.471,14.623,14.318,14.471,14.471,14.318,14.471,14.471,14.471,14.623,14.471,14.471,14.623,14.318,14.471,14.318,14.623,14.623,14.471,14.623,14.471,14.623,14.471,14.471,14.623,14.623,14.623,14.471,14.623,14.471,14.623,14.471,14.623,14.623,14.623,14.471,14.623,14.623,14.623,14.471,14.471,14.471,14.471,14.318,14.471,14.471,14.471,14.623,14.471,14.623,14.471,14.471,14.623,14.471,14.623,14.776,14.623,14.623,14.471,
54,58,58,126,53,-511.869,-515.346,-515.695,-515.767,-516.037,-516.262,-466.205,-453.831,-504.722,13.423,13.576,13.576,13.729,14.035,13.729,13.729,13.729,14.187,13.576,13.882,13.729,13.729,13.729,14.035,13.576,14.035,13.729,14.035,14.035,13.882,13.423,13.729,13.729,13.882,13.729,13.576,13.729,14.035,14.035,13.423,14.035,13.729,14.035,13.882,14.035,14.035,13.882,14.035,13.729,13.882,13.882,13.576,13.423,13.423,13.576,13.729,13.882,13.576,13.576,13.729,13.882,14.187,13.882,13.729,13.576,13.576,13.882,14.187,13.882,13.729,13.882,13.423,13.423,13.882,
55,58,58,125,53,-511.873,-514.685,-515.108,-515.079,-517.206,-516.815,-464.907,-453.517,-504.774,13.057,13.057,13.057,13.057,13.363,12.904,12.904,12.904,13.363,12.751,13.057,13.057,13.057,12.751,13.516,13.057,13.363,13.21,13.21,13.21,13.363,12.598,12.904,13.057,13.057,12.904,12.904,12.904,13.21,13.516,12.751,13.057,12.904,13.363,13.21,13.21,13.363,13.516,13.363,13.21,13.057,13.057,12.904,12.751,12.751,12.904,13.21,13.057,13.21,12.904,12.904,13.21,13.516,13.057,13.057,13.21,12.904,13.057,13.516,13.21,13.057,13.21,12.598,12.904,13.057,
56,58,58,124,53,-511.766,-514.166,-514.354,-515.75,-516.685,-517.41,-465.335,-453.689,-504.783,14.514,14.361,14.361,14.361,14.055,14.361,14.208,14.055,14.514,14.514,14.361,14.514,14.361,14.514,14.055,14.361,14.055,14.514,14.208,14.361,14.361,14.208,14.361,14.208,14.055,14.055,14.055,14.055,14.361,14.361,14.055,14.361,14.361,14.361,14.514,14.208,14.208,14.208,14.667,14.361,14.361,14.361,14.055,14.514,14.208,14.208,14.208,14.055,14.055,14.055,14.208,14.361,14.361,14.055,14.361,14.514,14.208,14.514,14.667,14.667,14.055,14.514,14.514,14.361,14.361,
57,58,58,123,53,-512.395,-515.619,-515.353,-514.838,-517.077,-516.772,-465.212,-453.911,-505.195,11.923,11.923,12.076,12.076,12.076,12.229,11.923,11.923,11.923,12.076,11.77,12.076,11.77,11.923,11.77,11.77,12.076,12.229,12.076,11.923,11.923,11.923,11.923,11.923,11.923,12.076,11.77,11.923,11.77,11.923,11.923,11.77,11.923,11.923,12.076,11.923,12.076,11.923,11.923,11.77,11.923,11.923,12.076,12.076,11.923,11.923,12.076,11.923,11.77,11.923,11.923,11.77,11.77,11.923,12.076,12.076,11.77,11.923,11.923,11.923,11.77,11.923,11.923,11.77,11.923,
58,58,58,122,53,-511.59,-514.533,-514.295,-515.423,-516.877,-517.223,-465.446,-453.88,-504.419,12.863,12.863,12.863,12.71,12.557,12.252,12.863,12.405,12.71,12.71,12.71,12.557,12.71,12.71,12.405,12.863,12.71,12.252,12.252,12.405,12.71,11.946,12.863,12.557,12.557,12.099,12.405,12.405,12.405,12.71,12.405,12.863,12.71,12.71,12.405,12.405,12.099,12.405,12.863,12.557,12.557,12.252,12.099,12.557,12.557,12.252,12.405,12.405,12.252,12.099,12.71,12.557,12.863,12.099,12.405,12.557,12.557,13.016,12.863,12.71,12.405,12.557,12.557,12.71,12.863,
59,58,58,121,53,-513.375,-516.635,-516.362,-516.925,-519.467,-518.948,-469.381,-457.966,-506.862,15.29,15.29,15.443,15.29,14.832,14.985,15.137,14.832,14.985,15.137,15.137,14.832,15.137,15.29,14.832,15.29,14.985,14.985,14.679,14.985,14.985,14.832,15.137,14.985,14.832,14.679,14.832,14.832,14.985,14.985,14.679,15.137,15.137,15.137,14.985,14.832,14.374,14.679,15.29,14.985,14.985,14.679,14.679,15.137,14.832,14.832,14.832,14.679,14.832,14.679,14.985,15.137,15.137,14.679,14.832,14.832,14.985,15.29,15.137,14.985,14.832,15.137,14.985,15.137,15.29,
60,58,58,120,53,-522.647,-523.732,-527.512,-518.189,-525.711,-525.208,-472.83,-461.221,-513.107,12.659,12.352,12.506,11.74,12.199,12.659,11.74,12.046,12.352,12.046,11.74,11.893,12.199,11.74,11.893,12.352,12.046,12.506,11.74,12.046,11.893,11.893,11.893,12.199,11.74,11.893,12.046,11.74,12.046,12.046,11.587,11.587,11.587,11.74,12.199,11.74,12.352,12.199,12.352,12.506,11.587,12.046,11.74,12.352,11.893,11.74,12.046,11.74,12.199,12.046,12.352,11.587,11.74,12.046,12.046,12.352,12.199,12.046,11.893,11.893,12.352,12.352,11.587,12.046,12.046,
61,58,58,119,53,-526.564,-521.887,-522.753,-531.634,-500.753,-504.755,-462.413,-452.394,-501.113,1.646,1.339,1.646,1.033,1.493,1.799,1.033,1.339,1.493,1.186,1.033,1.186,1.339,0.879335,1.186,1.646,1.339,1.339,1.186,1.339,1.339,1.033,1.186,1.799,1.033,1.339,1.493,1.186,1.493,1.339,1.186,1.033,1.033,1.339,1.493,1.339,1.493,1.493,1.493,1.646,1.033,1.646,1.033,1.646,1.186,1.033,1.339,1.186,1.493,1.493,1.493,1.186,1.033,1.493,1.186,1.646,1.493,1.339,1.186,1.339,1.646,1.493,1.033,1.493,1.493,
62,58,58,118,53,-502.915,-507.413,-514.125,-512.07,-520.984,-527.378,-469.616,-456.037,-510.395,15.355,15.355,15.355,15.05,15.202,15.355,14.897,15.05,15.202,15.05,14.897,14.897,15.202,14.744,15.05,15.202,15.05,15.202,14.897,15.05,15.05,15.05,14.897,15.202,15.05,15.05,15.202,14.897,15.05,15.05,15.05,14.897,14.897,14.897,15.05,14.897,15.05,15.202,15.05,15.202,14.897,15.05,14.897,15.202,15.05,14.744,15.05,14.897,15.05,15.05,15.202,14.897,14.744,15.05,14.897,15.05,15.05,15.05,15.05,15.05,15.202,15.202,14.897,15.202,15.202,
63,58,58,117,53,-516.267,-525.209,-521.976,-522.036,-524.067,-517.931,-459.613,-450.664,-500.205,2.352,1.894,2.047,1.435,1.894,2.047,1.282,1.741,1.894,1.741,1.435,1.588,2.047,1.282,1.741,2.047,1.741,2.047,1.435,1.741,1.894,1.741,1.588,1.894,1.741,1.741,1.894,1.588,2.047,1.588,1.435,1.435,1.435,1.588,2.047,1.588,2.047,1.894,1.894,2.2,1.435,1.894,1.435,2.047,1.588,1.435,1.741,1.588,1.894,1.894,1.894,1.435,1.588,1.894,1.741,2.2,2.047,1.741,1.588,1.894,2.047,2.047,1.282,1.894,2.047,
64,58,58,132,54,-512.901,-516.309,-516.053,-515.961,-517.44,-517.325,-465.874,-453.607,-506.907,16.699,16.699,17.158,17.158,17.005,17.005,17.158,17.005,16.699,16.852,16.699,16.852,17.158,16.699,16.393,17.005,16.699,16.699,17.005,16.546,16.852,16.852,16.852,17.005,16.699,17.158,17.005,16.852,16.546,16.699,17.005,17.005,17.005,16.546,17.005,17.005,16.699,16.546,16.546,16.546,17.005,16.546,16.546,16.699,17.158,17.005,16.699,16.546,16.546,16.852,17.158,17.158,17.005,17.005,16.546,16.546,17.005,16.699,16.699,17.005,17.005,17.005,16.852,16.699,17.005,
65,58,58,131,54,-514.217,-517.68,-516.876,-517.718,-519.92,-520.672,-470.299,-458.691,-507.046,20.5,20.347,20.347,20.194,20.194,20.347,20.5,20.194,20.194,20.194,20.194,20.194,20.653,20.194,20.194,20.5,20.194,20.347,20.5,20.194,20.5,20.5,20.347,20.5,20.5,20.653,20.5,20.5,20.347,20.347,20.653,20.653,20.5,20.347,20.5,20.653,20.5,20.5,20.5,20.5,20.653,20.347,20.5,20.5,20.653,20.5,20.5,20.347,20.5,20.653,20.806,20.806,20.653,20.806,20.347,20.347,20.806,20.5,20.5,20.806,20.806,20.653,20.653,20.5,20.653,
66,58,58,130,54,-512.409,-515.632,-515.418,-514.893,-518.549,-518.698,-466.655,-454.44,-505.342,14.368,14.521,14.368,14.521,14.368,14.368,14.521,14.521,14.062,14.062,14.215,14.215,14.521,14.062,13.909,14.368,14.215,13.909,14.368,14.062,14.062,14.368,14.062,14.215,14.368,14.521,14.368,14.215,14.062,14.062,14.521,14.521,14.215,13.909,14.368,14.368,14.062,14.215,13.909,14.062,14.368,13.909,14.062,14.062,14.368,14.215,14.215,13.909,13.909,14.215,14.368,14.521,14.368,14.215,14.062,13.909,14.368,13.909,13.909,14.368,14.368,14.368,14.215,13.909,14.368,
